Сайт,"id цели",Название,"Тип цели",Ретаргетинг,"Способ создания","Ценность цели","Условие цели",URL
laparoskopiya.ru,227203308,"Запись на прием к Мнояну. Новый ленд","по URL страницы",1,user,385,содержит,/tilda/form360214697/submitted
laparoskopiya.ru,227203309,"Запись на прием к Нагаеву. Новый ленд","по URL страницы",1,user,385,содержит,/tilda/form360227356/submitted
laparoskopiya.ru,227203315,"Запись на прием к Старкову. Новый ленд","по URL страницы",1,user,385,содержит,/tilda/form391341788/submitted
laparoskopiya.ru,227203329,"Уточнить цену. Блок цен. Новый ленд","по URL страницы",1,user,385,содержит,/tilda/form360228726/submitted
laparoskopiya.ru,228740127,"Аденомиоз: Записаться к врачу","по URL страницы",0,user,200,содержит,/tilda/form391839446/submitted
gryzha-operaciya.ru,41183635,Звонок,звонок,1,auto,0
gryzha-operaciya.ru,201676438,"Уникальный звонок","целевой звонок",0,auto,0
gryzha-operaciya.ru,201676441,"Уникально-целевой звонок","целевой звонок",0,auto,0
gryzha-operaciya.ru,201676444,"Целевой звонок","целевой звонок",0,auto,0
gryzha-operaciya.ru,41203855,Отзыв,"по URL страницы",0,user,0,содержит,/tilda/form66646557/submitted/
gryzha-operaciya.ru,41204089,"Связаться с нами","по URL страницы",0,user,0,содержит,/tilda/form66646564/submitted/
gryzha-operaciya.ru,41204170,"Записаться на прием","по URL страницы",0,user,0,содержит,/tilda/form66646568/submitted/
gryzha-operaciya.ru,41204194,Консультация,"по URL страницы",0,user,0,содержит,/tilda/form66646569/submitted/
gryzha-operaciya.ru,42253690,"Все заявки с сайта","по URL страницы",1,user,0,содержит,/tilda/form
gryzha-operaciya.ru,99427819,"Десктоп Хедер","по URL страницы",0,user,0,содержит,/tilda/form184560653/submitted
gryzha-operaciya.ru,99428098,"Моб Хедер","по URL страницы",0,user,0,содержит,/tilda/form184560876/submitted
gryzha-operaciya.ru,99428356,"Записаться Десктоп Форма1","по URL страницы",0,user,0,содержит,/tilda/form184562372/submitted
gryzha-operaciya.ru,99428422,"Консультация Десктоп Форма2","по URL страницы",0,user,0,содержит,/tilda/form184562701/submitted
gryzha-operaciya.ru,99428467,"Записаться Моб Форма3","по URL страницы",0,user,0,содержит,/tilda/form184587072/submitted
gryzha-operaciya.ru,99428533,"Консультация Моб Форма4","по URL страницы",0,user,0,содержит,/tilda/form184587073/submitted
gryzha-operaciya.ru,99428599,"Записаться Десктоп Форма5","по URL страницы",0,user,0,содержит,/tilda/form184587921/submitted
gryzha-operaciya.ru,99428665,"Рассчитать Десктоп Форма6","по URL страницы",0,user,0,содержит,/tilda/form184563450/submitted
gryzha-operaciya.ru,99428731,"Записаться Моб Форма7","по URL страницы",0,user,0,содержит,/tilda/form184588219/submitted
gryzha-operaciya.ru,99428818,"Рассчитать Моб Форма8","по URL страницы",0,user,0,содержит,/tilda/form184588220/submitted
gryzha-operaciya.ru,99428926,"Консультация Десктоп Форма9","по URL страницы",0,user,0,содержит,/tilda/form184589157/submitted
gryzha-operaciya.ru,99429013,"Консультация Моб Форма10","по URL страницы",0,user,0,содержит,/tilda/form184589288/submitted
gryzha-operaciya.ru,99429100,"Записаться Десктоп Форма11","по URL страницы",0,user,0,содержит,/tilda/form184589702/submitted
gryzha-operaciya.ru,99429169,"Рассчитать Десктоп Форма12","по URL страницы",0,user,0,содержит,/tilda/form184589704/submitted
gryzha-operaciya.ru,99429235,"Записаться Моб Форма13","по URL страницы",0,user,0,содержит,/tilda/form184589705/submitted
gryzha-operaciya.ru,99429280,"Рассчитать Моб Форма14","по URL страницы",0,user,0,содержит,/tilda/form184589706/submitted
gryzha-operaciya.ru,99429346,"Есть УЗИ Десктоп Форма15","по URL страницы",0,user,0,содержит,/tilda/form184591137/submitted
gryzha-operaciya.ru,99429412,"Нет УЗИ Десктоп Форма16","по URL страницы",0,user,0,содержит,/tilda/form184563688/submitted
gryzha-operaciya.ru,99429481,"Есть УЗИ Моб Форма17","по URL страницы",0,user,0,содержит,/tilda/form184591374/submitted
gryzha-operaciya.ru,99429547,"Нет УЗИ Моб Форма18","по URL страницы",0,user,0,содержит,/tilda/form184591375/submitted
gryzha-operaciya.ru,99429595,"Консультация Десктоп Форма19","по URL страницы",0,user,0,содержит,/tilda/form184591954/submitted
gryzha-operaciya.ru,99429703,"Консультация Моб Форма20","по URL страницы",0,user,0,содержит,/tilda/form184592317/submitted
gryzha-operaciya.ru,99429748,"Связаться Десктоп Форма21","по URL страницы",0,user,0,содержит,/tilda/form184593690/submitted
gryzha-operaciya.ru,99429814,"Связаться Моб Форма22","по URL страницы",0,user,0,содержит,/tilda/form184593785/submitted
gryzha-operaciya.ru,99429901,"Записаться Десктоп Форма23","по URL страницы",0,user,0,содержит,/tilda/form184594044/submitted
gryzha-operaciya.ru,99430072,"Консультация Десктоп Форма24","по URL страницы",0,user,0,содержит,/tilda/form184594045/submitted
gryzha-operaciya.ru,99430159,"Записаться Моб Форма25","по URL страницы",0,user,0,содержит,/tilda/form184594646/submitted
gryzha-operaciya.ru,99430204,"Консультация Моб Форма26","по URL страницы",0,user,0,содержит,/tilda/form184594647/submitted
gryzha-operaciya.ru,99430273,"Связаться Десктоп Футер","по URL страницы",0,user,0,содержит,/tilda/form71269784/submitted
gryzha-operaciya.ru,99430339,"Связаться Моб Футер","по URL страницы",0,user,0,содержит,/tilda/form184565823/submitted
gryzha-operaciya.ru,99430426,"Записаться Десктоп Футер","по URL страницы",0,user,0,содержит,/tilda/form72868013/submitted
gryzha-operaciya.ru,99430498,"Консультация Десктоп Футер","по URL страницы",0,user,0,содержит,/tilda/form72891647/submitted
gryzha-operaciya.ru,99430567,"Записаться Моб Футер","по URL страницы",0,user,0,содержит,/tilda/form184565140/submitted
gryzha-operaciya.ru,99430633,"Консультация Моб Футер","по URL страницы",0,user,0,содержит,/tilda/form184565141/submitted
gryzha-operaciya.ru,220049014,"CRMstat: Лид",JavaScript-событие,0,user,0,совпадает,crmstat-lead
gryzha-operaciya.ru,220049017,"CRMstat: Продажа",JavaScript-событие,0,user,0,совпадает,crmstat-sale
gryzha-operaciya.ru,227620827,"Автоцель: клик по номеру телефона","клик по номеру телефона",0,auto,0
gryzha-operaciya.ru,227620828,"Автоцель: отправка формы","отправка формы",0,auto,0
gryzha-operaciya.ru,227849871,"Автоцель: поиск по сайту","поиск по сайту",0,auto,0
gryzha-operaciya.ru,227873943,"Автоцель Jivo: автоприглашение в чат",JavaScript-событие,0,auto,0,совпадает,Jivo_Proactive_invitation_accepted
gryzha-operaciya.ru,227922427,"Автоцель Jivo: запуск чата клиентом",JavaScript-событие,0,auto,0,совпадает,Jivo_Client_initiate_chat
gryzha-operaciya.ru,227922607,"Автоцель Jivo: офлайн-сообщение",JavaScript-событие,0,auto,0,совпадает,Jivo_Offline_message_sent
